Entry,wormbase CDS,Entry name,fragment,Status,Protein names,Gene names,Organism,Length,Taxonomic lineage (ALL),Glycosylation,Transmembrane,Cross-reference (PDB),Sequence uncertainty,Sequence conflict,Sequence caution,Disulfide bond,Cross-reference (Pfam),Cross-reference (GeneID),Cross-reference (UniGene),Cross-reference (RefSeq),Cross-reference (GenBank),Cross-reference (WormBase)
P41950,D1044.2a,DEX1_CAEEL,Err:504,reviewed,Dendrite extension defective protein 1,dex-1 D1044.2,Caenorhabditis elegans,1090,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 240 240 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 416 416 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 709 709 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 959 979 Helical. {ECO:0000255}.,,,,,DISULFID 413 426 {ECO:0000255|PROSITE-ProRule:PRU00076}.; DISULFID 420 435 {ECO:0000255|PROSITE-ProRule:PRU00076}.; DISULFID 437 449 {ECO:0000255|PROSITE-ProRule:PRU00076}.,PF12947;PF06119;,175761;,Cel.6121;,NP_498181.3;NP_498182.2;NP_498183.2;,,D1044.2a;D1044.2b;D1044.2c;
O16881,C10F3.2,DHS16_CAEEL,Err:504,reviewed,3 beta-hydroxysteroid dehydrogenase dhs-16 (EC 1.1.1.-),dhs-16 C10F3.2,Caenorhabditis elegans,388,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 2 22 Helical. {ECO:0000255}.; TRANSMEM 300 320 Helical. {ECO:0000255}.; TRANSMEM 346 366 Helical. {ECO:0000255}.,,,,,,PF00106;,178983;,Cel.35961;,NP_504554.1;,,C10F3.2;
Q11177,C04F6.5,DHS27_CAEEL,Err:504,reviewed,Uncharacterized oxidoreductase dhs-27 (EC 1.-.-.-) (Short-chain dehydrogenase 27),dhs-27 C04F6.5,Caenorhabditis elegans,816,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 743 763 Helical. {ECO:0000255}.; TRANSMEM 777 797 Helical. {ECO:0000255}.,,,,,,PF00106;PF07914;,180632;,Cel.11468;,NP_508591.3;,,C04F6.5;
Q10130,F56D1.5,DHS5_CAEEL,Err:504,reviewed,Uncharacterized oxidoreductase dhs-5 (EC 1.-.-.-) (Short-chain dehydrogenase 5),dhs-5 F56D1.5,Caenorhabditis elegans,378,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 35 55 Helical. {ECO:0000255}.; TRANSMEM 61 81 Helical. {ECO:0000255}.,,,,,,PF00106;,173930;,Cel.15571;,NP_495035.1;,,F56D1.5;
O62215,F33A8.5,DHSD_CAEEL,Err:504,reviewed,"Putative succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (CybS) (Succinate dehydrogenase complex subunit D) (Succinate-ubiquinone reductase membrane anchor subunit)",sdhd-1 F33A8.5,Caenorhabditis elegans,145,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 46 67 Helical. {ECO:0000255}.; TRANSMEM 75 95 Helical. {ECO:0000255}.; TRANSMEM 109 129 Helical. {ECO:0000255}.,,,,,,,174692;,Cel.18269;,NP_496369.1;,,F33A8.5;
Q27257,F49E8.5,DIF1_CAEEL,Err:504,reviewed,Protein dif-1,dif-1 F49E8.5,Caenorhabditis elegans,312,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 5 25 Helical; Name=1. {ECO:0000255}.; TRANSMEM 69 89 Helical; Name=2. {ECO:0000255}.; TRANSMEM 104 124 Helical; Name=3. {ECO:0000255}.; TRANSMEM 172 192 Helical; Name=4. {ECO:0000255}.; TRANSMEM 209 229 Helical; Name=5. {ECO:0000255}.; TRANSMEM 261 282 Helical; Name=6. {ECO:0000255}.,,,,,,PF00153;,177530;,Cel.8694;,NP_501223.1;,,F49E8.5;
Q17433,B0035.2,DNJ2_CAEEL,Err:504,reviewed,DnaJ homolog dnj-2 (DnaJ domain protein 2),dnj-2 B0035.2,Caenorhabditis elegans,337,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 4 24 Helical. {ECO:0000255}.; TRANSMEM 127 147 Helical. {ECO:0000255}.; TRANSMEM 222 242 Helical. {ECO:0000255}.,2QSA;,,,,,PF00226;,178043;,Cel.23438;,NP_502126.1;,,B0035.2;
Q18775,C52B11.3,DOPR4_CAEEL,Err:504,reviewed,Dopamine receptor 4,dop-4 C52B11.3,Caenorhabditis elegans,517,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 25 25 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 106 106 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 47 67 Helical; Name=1. {ECO:0000255}.; TRANSMEM 78 98 Helical; Name=2. {ECO:0000255}.; TRANSMEM 109 129 Helical; Name=3. {ECO:0000255}.; TRANSMEM 160 180 Helical; Name=4. {ECO:0000255}.; TRANSMEM 210 230 Helical; Name=5. {ECO:0000255}.; TRANSMEM 410 430 Helical; Name=6. {ECO:0000255}.; TRANSMEM 443 463 Helical; Name=7. {ECO:0000255}.,,,,,,PF00001;,183715;,Cel.26174;,NP_508238.2;,,C52B11.3;
P34298,C06E1.3,DOXA1_CAEEL,Err:504,reviewed,Dual oxidase maturation factor 1,doxa-1 C06E1.3,Caenorhabditis elegans,397,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 109 109 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 327 327 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 330 330 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 26 46 Helical. {ECO:0000255}.; TRANSMEM 57 77 Helical. {ECO:0000255}.; TRANSMEM 191 211 Helical. {ECO:0000255}.; TRANSMEM 218 238 Helical. {ECO:0000255}.; TRANSMEM 261 281 Helical. {ECO:0000255}.,,,,,,PF10204;,182313;,Cel.19984;,NP_498886.2;,,C06E1.3;
Q7JKY3,T23F1.7a,DPF1_CAEEL,Err:504,reviewed,Dipeptidyl peptidase family member 1 (EC 3.4.14.-),dpf-1 T23F1.7,Caenorhabditis elegans,799,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 64 64 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 138 138 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 267 267 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 335 335 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 481 481 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 512 512 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.,TRANSMEM 32 52 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,,,,,DISULFID 474 477 {ECO:0000250}.; DISULFID 482 500 {ECO:0000250}.; DISULFID 689 794 {ECO:0000250}.,PF00930;PF00326;,180042;,Cel.8932;,NP_506850.1;NP_506851.1;,,T23F1.7a;T23F1.7b;
P34422,F44B9.1a,DPF6_CAEEL,Err:504,reviewed,Dipeptidyl peptidase family member 6 (EC 3.4.14.-),dpf-6 F44B9.1,Caenorhabditis elegans,740,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 108 108 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 308 308 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 506 506 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 672 672 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 2 22 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,,,,,DISULFID 535 658 {ECO:0000250}.,PF00326;,176132;,Cel.6344;,NP_741240.1;NP_741241.1;NP_741242.1;,,F44B9.1a;F44B9.1b;F44B9.1c;
Q09276,C43C3.3,DYF7_CAEEL,Err:504,reviewed,Protein dyf-7 (Abnormal dye filling protein 7),dyf-7 C43C3.3,Caenorhabditis elegans,446,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 377 397 Helical. {ECO:0000255}.,,,,,DISULFID 211 273 {ECO:0000250}.,PF00100;,181183;,Cel.39033;,NP_509630.1;,,C43C3.3;
Q21353,K08F4.4,EAA3_CAEEL,Err:504,reviewed,Putative sodium-dependent excitatory amino acid transporter glt-3,glt-3 K08F4.4,Caenorhabditis elegans,532,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 164 164 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.; CARBOHYD 169 169 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.,TRANSMEM 6 26 Helical. {ECO:0000255}.; TRANSMEM 46 66 Helical. {ECO:0000255}.; TRANSMEM 83 103 Helical. {ECO:0000255}.; TRANSMEM 182 202 Helical. {ECO:0000255}.; TRANSMEM 222 242 Helical. {ECO:0000255}.; TRANSMEM 264 284 Helical. {ECO:0000255}.; TRANSMEM 352 372 Helical. {ECO:0000255}.; TRANSMEM 383 402 Helical. {ECO:0000255}.,,,,,,PF00375;,177882;,Cel.12625;,NP_501844.1;,,K08F4.4;
Q22682,T22E5.2,EAA4_CAEEL,Err:504,reviewed,Putative sodium-dependent excitatory amino acid transporter glt-4,glt-4 T22E5.2,Caenorhabditis elegans,499,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 165 165 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 8 28 Helical. {ECO:0000255}.; TRANSMEM 50 70 Helical. {ECO:0000255}.; TRANSMEM 87 107 Helical. {ECO:0000255}.; TRANSMEM 194 214 Helical. {ECO:0000255}.; TRANSMEM 234 254 Helical. {ECO:0000255}.; TRANSMEM 276 296 Helical. {ECO:0000255}.; TRANSMEM 364 384 Helical. {ECO:0000255}.; TRANSMEM 395 415 Helical. {ECO:0000255}.,,,,,,PF00375;,188744;,Cel.19806;,NP_509075.3;,,T22E5.2;
Q21751,R05G6.6,EAA6_CAEEL,Err:504,reviewed,Putative sodium-dependent excitatory amino acid transporter glt-6,glt-6 R05G6.6,Caenorhabditis elegans,542,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 175 175 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 16 36 Helical. {ECO:0000255}.; TRANSMEM 55 75 Helical. {ECO:0000255}.; TRANSMEM 93 113 Helical. {ECO:0000255}.; TRANSMEM 192 212 Helical. {ECO:0000255}.; TRANSMEM 234 254 Helical. {ECO:0000255}.; TRANSMEM 265 285 Helical. {ECO:0000255}.; TRANSMEM 303 323 Helical. {ECO:0000255}.; TRANSMEM 386 406 Helical. {ECO:0000255}.,,,,,,PF00375;,187623;,Cel.37595;,NP_501210.3;,,R05G6.6;
Q9NL29,H30A04.1a,EAT20_CAEEL,Err:504,reviewed,Abnormal pharyngeal pumping eat-20,eat-20 H30A04.1,Caenorhabditis elegans,810,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 90 90 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 171 171 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 232 232 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 371 371 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 749 769 Helical. {ECO:0000255}.,,,,,DISULFID 224 235 {ECO:0000255|PROSITE-ProRule:PRU00076}.; DISULFID 229 245 {ECO:0000255|PROSITE-ProRule:PRU00076}.; DISULFID 247 256 {ECO:0000255|PROSITE-ProRule:PRU00076}.; DISULFID 261 272 {ECO:0000255|PROSITE-ProRule:PRU00076}.; DISULFID 266 281 {ECO:0000255|PROSITE-ProRule:PRU00076}.; DISULFID 283 292 {ECO:0000255|PROSITE-ProRule:PRU00076}.; DISULFID 305 314 {ECO:0000255|PROSITE-ProRule:PRU00076}.; DISULFID 309 323 {ECO:0000255|PROSITE-ProRule:PRU00076}.; DISULFID 325 334 {ECO:0000255|PROSITE-ProRule:PRU00076}.,PF00008;PF12661;,181641;,Cel.5429;,NP_001024740.1;NP_001024741.1;,,H30A04.1a;H30A04.1b;
Q27295,F13G3.8,EAT5_CAEEL,Err:504,reviewed,Innexin eat-5 (Abnormal pharyngeal pumping eat-5),eat-5 F13G3.8,Caenorhabditis elegans,423,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 25 41 Helical. {ECO:0000255|PROSITE-ProRule:PRU00351}.; TRANSMEM 102 122 Helical. {ECO:0000255|PROSITE-ProRule:PRU00351}.; TRANSMEM 277 297 Helical. {ECO:0000255|PROSITE-ProRule:PRU00351}.; TRANSMEM 341 361 Helical. {ECO:0000255|PROSITE-ProRule:PRU00351}.,,,,,,PF00876;,172480;,Cel.19711;,NP_492068.1;,,F13G3.8;
P90920,K07A12.2,EGG6_CAEEL,Err:504,reviewed,Leucine-rich repeat-containing protein egg-6,egg-6 K07A12.2,Caenorhabditis elegans,961,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 855 875 Helical. {ECO:0000255}.,,,,,,PF13855;,172670;,Cel.22576;,NP_492348.1;,,K07A12.2;
Q20123,F37C12.2,EI24_CAEEL,Err:504,reviewed,Ectopic P granules protein 4,epg-4 eip-24 F37C12.2,Caenorhabditis elegans,315,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 84 104 Helical. {ECO:0000255}.; TRANSMEM 113 133 Helical. {ECO:0000255}.; TRANSMEM 146 166 Helical. {ECO:0000255}.; TRANSMEM 190 210 Helical. {ECO:0000255}.; TRANSMEM 221 241 Helical. {ECO:0000255}.; TRANSMEM 242 262 Helical. {ECO:0000255}.,,,,,,,176009;,Cel.10521;,NP_498575.1;,,F37C12.2;
P49191,D2024.3,ELO3_CAEEL,Err:504,reviewed,Putative fatty acid elongation protein 3 (EC 2.3.1.199) (3-keto acyl-CoA synthase elo-3) (Very-long-chain 3-oxoacyl-CoA synthase 3),elo-3 D2024.3,Caenorhabditis elegans,320,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 14 14 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.,TRANSMEM 33 53 Helical. {ECO:0000255}.; TRANSMEM 67 87 Helical. {ECO:0000255}.; TRANSMEM 120 140 Helical. {ECO:0000255}.; TRANSMEM 145 165 Helical. {ECO:0000255}.; TRANSMEM 203 223 Helical. {ECO:0000255}.; TRANSMEM 242 262 Helical. {ECO:0000255}.,,,,,,PF01151;,183948;,Cel.13217;,NP_001255291.1;,,D2024.3;
Q03574,C40H1.4,ELO4_CAEEL,Err:504,reviewed,Putative fatty acid elongation protein 4 (EC 2.3.1.199) (3-keto acyl-CoA synthase elo-4) (Very-long-chain 3-oxoacyl-CoA synthase 4),elo-4 C40H1.4,Caenorhabditis elegans,291,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 46 66 Helical. {ECO:0000255}.; TRANSMEM 79 99 Helical. {ECO:0000255}.; TRANSMEM 254 274 Helical. {ECO:0000255}.,,,,,,PF01151;,183367;,Cel.10722;,NP_499056.1;,,C40H1.4;
Q20303,F41H10.8,ELO6_CAEEL,Err:504,reviewed,Elongation of very long chain fatty acids protein 6 (EC 2.3.1.199) (3-keto acyl-CoA synthase elo-6) (Very-long-chain 3-oxoacyl-CoA synthase 6),elo-6 F41H10.8,Caenorhabditis elegans,274,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 31 51 Helical. {ECO:0000255}.; TRANSMEM 70 90 Helical. {ECO:0000255}.; TRANSMEM 112 132 Helical. {ECO:0000255}.; TRANSMEM 136 156 Helical. {ECO:0000255}.; TRANSMEM 160 180 Helical. {ECO:0000255}.; TRANSMEM 203 223 Helical. {ECO:0000255}.; TRANSMEM 231 251 Helical. {ECO:0000255}.,,,,,,PF01151;,177321;,Cel.12963;,NP_500797.1;,,F41H10.8;
Q20300,F41H10.7a,ELO5_CAEEL,Err:504,reviewed,Elongation of very long chain fatty acids protein 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase elo-5) (Very-long-chain 3-oxoacyl-CoA synthase 5),elo-5 F41H10.7,Caenorhabditis elegans,286,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 36 56 Helical. {ECO:0000255}.; TRANSMEM 74 94 Helical. {ECO:0000255}.; TRANSMEM 118 138 Helical. {ECO:0000255}.; TRANSMEM 142 162 Helical. {ECO:0000255}.; TRANSMEM 169 189 Helical. {ECO:0000255}.; TRANSMEM 200 220 Helical. {ECO:0000255}.; TRANSMEM 240 260 Helical. {ECO:0000255}.,,,,,,PF01151;,177320;,Cel.6925;,NP_500793.1;,,F41H10.7a;
P90754,C27A7.1a,ENPP1_CAEEL,Err:504,reviewed,Ectonucleotide pyrophosphatase/phosphodiesterase C27A7.1 (EC 3.1.-.-),C27A7.1,Caenorhabditis elegans,829,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans","CARBOHYD 296 296 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 424 424 N-linked (GlcNAc...). {ECO:0000269|PubMed:12754521, ECO:0000269|PubMed:17761667}.; CARBOHYD 514 514 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 542 542 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 582 582 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 649 649 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.; CARBOHYD 733 733 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 748 748 N-linked (GlcNAc...). {ECO:0000255}.",TRANSMEM 54 74 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,,,,,DISULFID 439 782 {ECO:0000250}.,PF01663;,179663;,Cel.4650;,NP_001041085.1;NP_001041086.1;,,C27A7.1a;C27A7.1b;
P90755,C27A7.3a,ENPP2_CAEEL,Err:504,reviewed,Ectonucleotide pyrophosphatase/phosphodiesterase C27A7.3 (EC 3.1.-.-),C27A7.3,Caenorhabditis elegans,743,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 195 195 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 293 293 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 320 320 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 406 406 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 434 434 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 536 536 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 737 737 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 24 44 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,,,,,DISULFID 335 696 {ECO:0000250}.,PF01663;,179665;,Cel.4648;,NP_001041087.1;NP_001041088.1;,,C27A7.3a;C27A7.3b;
Q09473,C28H8.4,ERD22_CAEEL,Err:504,reviewed,Putative ER lumen protein-retaining receptor C28H8.4,C28H8.4,Caenorhabditis elegans,213,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 3 21 Helical. {ECO:0000255}.; TRANSMEM 36 53 Helical. {ECO:0000255}.; TRANSMEM 62 80 Helical. {ECO:0000255}.; TRANSMEM 97 110 Helical. {ECO:0000255}.; TRANSMEM 118 137 Helical. {ECO:0000255}.; TRANSMEM 150 168 Helical. {ECO:0000255}.; TRANSMEM 179 199 Helical. {ECO:0000255}.,,,,,,PF00810;,175833;,Cel.7344;,NP_498282.1;,,C28H8.4;
P48583,F09B9.3,ERD2_CAEEL,Err:504,reviewed,ER lumen protein-retaining receptor,erd-2 erd2 F09B9.3,Caenorhabditis elegans,213,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 3 21 Helical. {ECO:0000255}.; TRANSMEM 36 53 Helical. {ECO:0000255}.; TRANSMEM 62 80 Helical. {ECO:0000255}.; TRANSMEM 97 110 Helical. {ECO:0000255}.; TRANSMEM 118 137 Helical. {ECO:0000255}.; TRANSMEM 150 168 Helical. {ECO:0000255}.; TRANSMEM 179 199 Helical. {ECO:0000255}.,,,,,,PF00810;,181228;,Cel.6385;,NP_509703.1;,,F09B9.3;
Q09216,B0495.7,ERP1A_CAEEL,Err:504,reviewed,Putative endoplasmic reticulum metallopeptidase 1-A (EC 3.4.-.-) (FXNA-like protease),B0495.7,Caenorhabditis elegans,895,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans","CARBOHYD 659 659 N-linked (GlcNAc...). {ECO:0000269|PubMed:15888633, ECO:0000269|PubMed:17761667}.; CARBOHYD 702 702 N-linked (GlcNAc...). {ECO:0000269|PubMed:15888633, ECO:0000269|PubMed:17761667}.; CARBOHYD 758 758 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.",TRANSMEM 35 55 Helical; Name=1. {ECO:0000255}.; TRANSMEM 384 404 Helical; Name=2. {ECO:0000255}.; TRANSMEM 424 444 Helical; Name=3. {ECO:0000255}.; TRANSMEM 453 473 Helical; Name=4. {ECO:0000255}.; TRANSMEM 493 513 Helical; Name=5. {ECO:0000255}.; TRANSMEM 518 538 Helical; Name=6. {ECO:0000255}.; TRANSMEM 545 565 Helical; Name=7. {ECO:0000255}.; TRANSMEM 587 607 Helical; Name=8. {ECO:0000255}.; TRANSMEM 614 634 Helical; Name=9. {ECO:0000255}.,,,,,,PF04389;,174245;,Cel.17071;,NP_495618.1;,,B0495.7;
